months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,policy_bind_date_year,policy_bind_date_month,policy_bind_date_day,incident_date_year,incident_date_month,incident_date_day,policy_to_incident_days,fraud_reported
428,54,492745,IN,100/300,2000,1506.21,0,453407,MALE,Masters,,kayaking,unmarried,0,-24400,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,riverwood,4693 lincoln hwy,16,3,NO,1,0,NO,76560,12760,6380,57420,nissan,ultima,2009,2004,2,4,2015,1,22,4005,0
0,32,740518,OH,500/1000,1000,1377.04,0,441363,MALE,College,,,wife,61400,-41100,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,springfield,1529 elm ridge,6,4,NO,1,1,NO,39720,6620,6620,26480,accura,mdx,2002,2011,2,18,2015,1,17,1429,0
47,37,962591,IN,250/500,2000,1241.97,0,430104,MALE,High School,,movie,not-in-family,75400,0,Parked Car,Rear Collision,Minor Damage,nan,NY,hillsdale,8749 tree st,18,1,NO,1,0,NO,6700,670,670,5360,jeep,wrangler,2011,2008,3,16,2015,1,5,2486,0
283,48,963680,OH,500/1000,1000,1474.66,0,446755,FEMALE,JD,sale,paintball,husband,0,-46200,Parked Car,Rear Collision,Trivial Damage,Police,NY,hillsdale,6484 tree drive,9,1,NO,2,3,NO,6560,820,820,4920,volkswagen,jetta,2003,2003,1,4,2015,2,17,4427,0
343,48,436126,IN,250/500,500,1451.54,3000000,473412,MALE,JD,,hiking,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,riverwood,3167 2nd st,13,4,NO,2,3,NO,65070,7230,14460,43380,mercedes,c300,2003,2009,11,3,2015,1,8,1892,0
127,31,856153,OH,500/1000,500,1255.02,0,462250,MALE,Associate,sale,reading,not-in-family,58200,0,Parked Car,Rear Collision,Minor Damage,nan,SC,riverwood,3028 5th st,10,1,YES,1,0,NO,6160,560,1120,4480,nissan,ultima,1996,2002,7,9,2015,1,13,4571,0
166,38,414779,IL,100/300,2000,1588.55,0,435758,MALE,MD,,,unmarried,59600,-32100,Single Vehicle Collision,Side Collision,Total Loss,Other,WV,columbus,7740 mlk st,8,1,NO,0,0,NO,40320,5760,5760,28800,suburu,impreza,2001,1992,11,9,2015,1,9,8096,0
267,43,369226,OH,250/500,500,1300.68,0,600418,MALE,PhD,,sleeping,unmarried,49000,0,Parked Car,Rear Collision,Minor Damage,nan,NC,northbend,4431 rock st,0,1,NO,1,3,YES,1920,480,0,1440,chevrolet,tahoe,2011,2002,2,10,2015,1,27,4734,0
106,31,165485,IL,500/1000,2000,1320.75,0,441491,FEMALE,JD,,,wife,54100,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,springfield,6315 2nd lane,20,3,NO,0,3,YES,45630,5070,5070,35490,accura,mdx,2011,1998,2,12,2015,2,1,6198,0
447,61,214618,OH,100/300,2000,1137.16,0,615561,FEMALE,High School,,skydiving,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,springfield,5971 5th hwy,21,3,YES,1,2,YES,114920,17680,17680,79560,audi,a3,2006,1999,5,29,2015,2,15,5741,0
224,42,662088,OH,500/1000,500,1212.75,0,455913,FEMALE,College,,kayaking,own-child,0,-51400,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,springfield,6331 mlk ave,11,1,NO,0,0,YES,55200,9200,13800,32200,honda,civic,1998,2005,3,6,2015,1,27,3614,0
404,56,485813,IN,250/500,1000,1361.16,4000000,437944,FEMALE,Masters,,,not-in-family,0,-63700,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,hillsdale,2798 1st ave,23,1,NO,2,0,YES,53100,5310,5310,42480,accura,mdx,2005,2010,4,7,2015,1,15,1744,1
292,42,396002,IN,250/500,1000,1588.22,0,605369,MALE,JD,,camping,other-relative,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,riverwood,7488 lincoln lane,15,3,YES,1,1,NO,84600,16920,8460,59220,chevrolet,malibu,2007,2007,3,4,2015,1,15,2874,0
163,36,974522,IN,250/500,1000,1503.21,0,448190,MALE,MD,,,husband,55700,-49900,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,WV,springfield,4475 lincoln ridge,1,1,YES,2,1,NO,51390,5710,11420,34260,toyota,corolla,2013,2000,1,27,2015,2,28,5511,0
154,36,979285,IL,250/500,2000,1313.51,7000000,600904,FEMALE,Masters,,dancing,own-child,68500,0,Vehicle Theft,Rear Collision,Trivial Damage,nan,SC,northbrook,8864 tree ridge,9,1,NO,2,0,NO,2800,280,280,2240,volkswagen,passat,2015,2003,12,17,2015,2,3,4066,0
256,39,104594,OH,250/500,1000,1351.1,0,478456,FEMALE,PhD,,,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,arlington,8973 washington st,19,3,NO,0,2,NO,64100,6410,6410,51280,saab,95,2003,2006,10,12,2015,1,2,3004,1
297,48,264221,IL,500/1000,1000,1243.68,0,463331,MALE,Masters,,camping,wife,0,-71400,Multi-vehicle Collision,Front Collision,Major Damage,Other,NY,springfield,9177 texas ave,18,3,NO,0,2,NO,54960,6870,0,48090,toyota,corolla,2002,2014,7,28,2015,2,20,207,1
210,41,395269,IL,500/1000,500,1222.75,0,432781,MALE,High School,,polo,other-relative,0,-41000,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,columbus,1454 5th ridge,12,3,NO,2,0,NO,81070,14740,14740,51590,bmw,x5,2001,2012,11,2,2015,1,30,819,0
169,39,865201,OH,100/300,2000,1140.15,0,608929,MALE,High School,,exercise,husband,0,-36800,Multi-vehicle Collision,Rear Collision,Total Loss,Police,VA,riverwood,2003 2nd hwy,9,3,YES,0,3,NO,46200,4200,8400,33600,suburu,legacy,2015,2001,10,19,2015,1,19,4840,0
356,54,913337,OH,500/1000,500,912.3,0,461383,MALE,College,,yachting,wife,58500,-44000,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,northbend,9214 elm ridge,23,3,NO,2,1,NO,68750,12500,12500,43750,audi,a5,2007,2008,2,10,2015,1,10,2526,1
111,29,235869,IL,250/500,500,1239.55,2000000,464736,FEMALE,PhD,,kayaking,own-child,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,riverwood,2230 1st st,1,1,NO,1,1,YES,52800,4800,9600,38400,mercedes,ml350,1996,2011,1,22,2015,1,9,1448,1
87,31,853360,IN,500/1000,1000,1074.07,0,451312,FEMALE,Masters,sale,chess,husband,0,-47500,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NY,springfield,3052 weaver ridge,16,3,NO,0,3,YES,60940,5540,11080,44320,nissan,ultima,2006,2009,6,26,2015,1,27,2041,1
233,39,728839,OH,500/1000,2000,1524.18,0,605220,MALE,JD,,reading,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,northbrook,9148 4th hwy,20,3,NO,1,0,YES,48870,5430,5430,38010,saab,95,1999,2001,1,2,2015,1,8,5119,0
449,57,293794,OH,250/500,2000,1440.68,0,442395,MALE,Associate,,movie,own-child,25000,0,Parked Car,Rear Collision,Minor Damage,nan,SC,riverwood,1845 best st,8,1,YES,0,1,YES,5390,980,980,3430,volkswagen,passat,2008,1999,4,17,2015,2,9,5777,0
394,57,395572,IL,250/500,500,1401.2,0,619892,FEMALE,High School,,movie,own-child,51500,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,NC,hillsdale,6493 lincoln lane,9,1,NO,1,0,NO,6890,1060,1060,4770,audi,a5,1999,1999,3,30,2015,1,25,5780,0
124,32,140977,IN,100/300,1000,1310.71,0,469875,FEMALE,Masters,,kayaking,wife,29300,0,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,NY,columbus,9418 5th hwy,23,1,YES,0,1,NO,57700,5770,5770,46160,toyota,camry,2003,2006,8,18,2015,2,25,3113,0
308,47,720356,OH,100/300,1000,1013.61,6000000,452349,FEMALE,Associate,,movie,own-child,45700,-41400,Parked Car,Rear Collision,Minor Damage,nan,NY,springfield,4369 maple lane,7,1,NO,1,1,YES,5590,860,860,3870,suburu,impreza,2002,2013,9,16,2015,1,3,474,0
110,27,284834,OH,500/1000,1000,1664.66,0,465921,FEMALE,Associate,,golf,own-child,0,-66200,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,SC,springfield,8602 washington ridge,3,1,NO,0,3,NO,57500,5750,5750,46000,audi,a3,2010,2009,8,3,2015,2,5,2012,0
245,41,267885,IN,500/1000,2000,1212.0,0,620473,MALE,Masters,,basketball,unmarried,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,springfield,7705 best ridge,4,1,YES,0,1,YES,73500,7350,14700,51450,jeep,wrangler,1999,2013,8,26,2015,1,28,520,0
300,49,795847,IL,100/300,1000,1441.21,0,609322,FEMALE,PhD,,kayaking,wife,0,0,Vehicle Theft,Rear Collision,Trivial Damage,nan,SC,columbus,1992 britain drive,3,1,NO,1,0,NO,7080,1180,1180,4720,nissan,maximum,2001,1995,12,17,2015,1,4,6958,0
